,origin_station_name,destination_station_name,origin_date,hour_,transfer_time1,avg_time1,full_price1,via_stations1,hourly_cnt1,od_ratio1,transfer_time2,avg_time2,full_price2,via_stations2,hourly_cnt2,od_ratio2,transfer_time3,avg_time3,full_price3,via_stations3,hourly_cnt3,od_ratio3,transfer_time4,avg_time4,full_price4,via_stations4,hourly_cnt4,od_ratio4,transfer_time5,avg_time5,full_price5,via_stations5,hourly_cnt5,od_ratio5
0,广医二院站,海印桥南站,2022-03-07,18,0,2.966666666666667,2.0,1.0,4,0.2142857142857143,0,2.4585,2.0,1.0,4,0.1428571428571428,0.0,3.235111111111111,2.0,1.0,6.0,0.6428571428571429,,,,,,,,,,,,
0,天虹宾馆站,白云农批市场站,2022-03-07,17,0,11.533142857142858,1.0,5.0,8,0.6363636363636364,0,11.617,3.0,5.0,4,0.1818181818181818,0.0,10.667,3.0,5.0,7.0,0.1818181818181818,,,,,,,,,,,,
0,东风西路站,罗冲围（松南路）总站,2022-03-07,18,0,24.47216666666667,1.0,5.0,7,0.5,0,25.27925,2.0,5.0,6,0.3333333333333333,0.0,26.533,1.2,5.0,4.0,0.1666666666666667,,,,,,,,,,,,
0,龙口西站,天河北路站,2022-03-07,12,0,1.733,1.2,1.0,5,0.07692307692307693,0,2.4805,2.0,1.0,4,0.4615384615384616,0.0,1.5919999999999999,1.2,1.0,4.0,0.1538461538461539,0.0,3.35,1.0,1.0,4.0,0.07692307692307693,0.0,2.155333333333334,2.0,1.0,6.0,0.2307692307692308
0,同和站,大源站,2022-03-07,19,0,24.39623076923078,2.0,10.0,21,0.6190476190476191,0,23.9530625,2.0,10.0,7,0.3809523809523809,,,,,,,,,,,,,,,,,,
0,荔湾路口站,陈家祠站,2022-03-07,16,0,5.0625,2.0,1.0,8,0.1739130434782609,0,7.0166,0.0,1.0,5,0.2173913043478261,0.0,4.000333333333334,0.0,1.0,6.0,0.1304347826086956,0.0,6.3934,2.0,1.0,4.0,0.2173913043478261,0.0,6.436166666666668,2.0,1.0,8.0,0.2608695652173913
0,竹仔园站,龙归墟站,2022-03-07,19,0,10.56875,2.0,3.0,7,0.7272727272727273,0,10.058,3.0,2.0,4,0.1818181818181818,0.0,13.55,2.0,4.0,4.0,0.09090909090909093,,,,,,,,,,,,
0,礼岗（省口腔医院）站,保利红棉花园站,2022-03-07,18,0,7.790000000000001,2.0,3.0,7,0.3125,0,8.986799999999997,2.0,3.0,5,0.3125,0.0,9.367,2.0,3.0,5.0,0.125,0.0,9.3415,1.2,3.0,4.0,0.125,0.0,9.925,2.0,3.0,5.0,0.125
0,华农大正门站,汇景北路总站,2022-03-07,10,0,10.9944,2.0,3.0,4,0.5172413793103449,0,9.078571428571427,1.0,3.0,5,0.4827586206896552,,,,,,,,,,,,,,,,,,
0,中山七路站,西门口（中山六路）站,2022-03-07,7,0,3.572333333333333,2.0,1.0,5,0.12,0,4.35,2.0,1.0,12,0.2,0.0,3.795,2.0,1.0,5.0,0.28,0.0,4.3668,1.2,1.0,8.0,0.2,0.0,3.6234,2.0,1.0,8.0,0.2
0,花蕾路站,花地站,2022-03-07,10,0,13.755666666666661,0.0,2.0,5,0.2608695652173913,0,15.2915,0.0,2.0,5,0.08695652173913042,0.0,12.1066,1.2,2.0,8.0,0.2173913043478261,0.0,13.18522222222222,1.0,2.0,5.0,0.39130434782608703,0.0,10.75,0.0,2.0,2.0,0.043478260869565216
0,华贵路站,恒宝广场总站,2022-03-07,15,0,1.999833333333333,2.0,1.0,3,0.4285714285714285,0,2.002,0.0,1.0,5,0.5714285714285714,,,,,,,,,,,,,,,,,,
0,塘头站,开发大道立交东站,2022-03-07,7,0,2.917,0.0,1.0,3,0.047619047619047616,0,2.55,2.0,1.0,6,0.1904761904761905,0.0,1.4665,1.0,1.0,3.0,0.1904761904761905,0.0,2.81,2.0,1.0,3.0,0.2380952380952381,0.0,2.442857142857143,2.0,1.0,9.0,0.3333333333333333
0,同和站,黄庄站,2022-03-07,18,0,19.0768,2.0,7.0,3,0.03759398496240601,0,18.60805,2.0,7.0,15,0.4511278195488722,0.0,18.55904,2.0,7.0,12.0,0.3759398496240601,0.0,19.74538888888889,2.0,6.0,6.0,0.1353383458646616,,,,,,
0,晓港新村站,晓港湾站,2022-03-07,15,0,10.789000000000001,2.0,4.0,4,0.25,0,9.605333333333334,2.0,4.0,5,0.25,0.0,7.7835,2.0,4.0,5.0,0.1666666666666667,0.0,10.50566666666667,2.0,4.0,6.0,0.25,0.0,8.533,1.2,4.0,4.0,0.08333333333333333
