,hour_,normal_ratio,eld_ratio,transfer_time1,avg_time1,full_price1,via_stations1,hourly_cnt1,transfer_time2,avg_time2,full_price2,via_stations2,hourly_cnt2,transfer_time3,avg_time3,full_price3,via_stations3,hourly_cnt3,transfer_time4,avg_time4,full_price4,via_stations4,hourly_cnt4,transfer_time5,avg_time5,full_price5,via_stations5,hourly_cnt5
0,14,0.8461538461538461,0.1538461538461538,0,11.0665,1.2,5.0,7,0,13.05425,2.0,5.0,9,0.0,12.6335,2.0,5.0,7.0,0.0,13.07233333333333,2.0,5.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,9,0.1,0.9,0,2.2835,2.0,1.0,11,0,2.083,2.0,1.0,5,0.0,3.267,0.0,1.0,4.0,0.0,3.55,0.0,1.0,5.0,0.0,3.14575,1.0,1.0,8.0
0,9,0.06521739130434782,0.9347826086956522,0,5.1084999999999985,2.0,2.0,6,0,4.47925,0.0,2.0,4,0.0,4.625,0.0,2.0,9.0,0.0,4.912181818181818,2.0,2.0,11.0,0.0,5.70425,2.0,2.0,9.0
0,9,0.8048780487804879,0.1951219512195122,0,10.0055,2.0,6.0,3,0,9.5665,2.0,6.0,6,0.0,11.482999999999999,2.0,5.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,13,0.125,0.875,0,5.931444444444443,2.0,2.0,7,0,29.02925,0.5,2.0,4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,8,0.76,0.24,0,1.033333333333333,2.0,1.0,4,0,1.275,2.0,-1.0,8,0.0,0.9056666666666664,1.2,1.0,6.0,0.0,2.1,2.0,1.0,4.0,0.0,1.042,2.0,1.0,6.0
0,14,0.4923076923076923,0.5076923076923077,0,3.5915,2.0,2.0,6,0,3.47075,2.0,1.0,9,0.0,3.35,1.2,1.0,5.0,0.0,2.946,2.0,1.0,9.0,0.0,3.0834,2.0,1.0,5.0
0,8,0.3125,0.6875,0,13.1165,0.0,2.0,6,0,11.2602,1.0,2.0,7,0.0,11.47,2.0,2.0,11.0,0.0,9.686166666666667,2.0,2.0,7.0,0.0,9.8,2.0,2.0,5.0
0,7,0.9375,0.0625,0,17.371,1.0,6.0,6,0,16.90016666666667,2.0,6.0,5,0.0,17.41666666666667,2.0,6.0,5.0,0.0,17.033,2.0,6.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,11,0.8947368421052632,0.1052631578947368,0,4.75,2.0,2.0,4,0,8.2,2.0,1.0,6,0.0,4.725,1.2,2.0,7.0,0.0,7.257999999999999,2.0,2.0,8.0,0.0,6.1915,1.2,2.0,8.0
0,9,0.7307692307692307,0.2692307692307692,0,1.861,2.0,1.0,6,0,2.122166666666666,2.0,1.0,6,0.0,2.2085,2.0,1.0,12.0,0.0,1.339166666666667,2.0,1.0,7.0,0.0,2.1434,2.0,1.0,8.0
0,8,0.6111111111111112,0.3333333333333333,0,1.933,0.0,1.0,3,0,2.117,3.0,1.0,1,0.0,6.183333333333334,2.0,1.0,10.0,0.0,2.4585,0.0,1.0,2.0,0.0,2.3165,1.0,1.0,3.0
0,17,0.9090909090909092,0.09090909090909093,0,26.6066,2.0,5.0,7,0,27.56666666666666,2.0,7.0,8,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
0,18,0.9793814432989691,0.02061855670103093,0,19.4766,2.0,4.0,14,0,17.2,2.0,4.0,12,0.0,18.583,2.0,4.0,11.0,0.0,24.833000000000002,1.2,4.0,12.0,0.0,22.948692307692298,2.0,4.0,12.0
0,7,0.7222222222222222,0.2777777777777778,0,29.42142857142857,2.0,4.0,5,0,30.5366,2.0,3.0,4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
