route_list,hour_,route_id,route_dir,origin_station_name,origin_station_id,destination_station_name,destination_station_id,transfer_time,vehicle_flag_list,cc,avg_time,origin_date,full_price,origin_hour,via_stations,hourly_cnt,normal_cnt,normal_ratio,eld_cnt,eld_ratio,cnt_rnk,od_ratio
393#1,18,393,1,华林寺站,5100,康王北路站,10005988,0,0,6,5.436,2022-03-31,2.0,2022-03-31#18,2.0,7,28,0.9333333333333332,2,0.06666666666666667,2,0.2608695652173913
72#1,18,72,1,华林寺站,5100,康王北路站,10005988,0,0,6,6.244333333333334,2022-03-31,2.0,2022-03-31#18,2.0,13,28,0.9333333333333332,2,0.06666666666666667,1,0.2608695652173913
7751#0,08,7751,0,南悦花苑总站,16003,地铁白云公园站,10002402,0,0,22,34.02572727272727,2022-03-31,2.0,2022-03-31#08,11.0,4,20,0.9090909090909092,2,0.09090909090909093,1,1.0
114#1,07,114,1,南悦花苑总站,16003,迎宾馆站,10001176,0,0,34,45.32111764705881,2022-03-31,2.0,2022-03-31#07,14.0,5,44,0.7213114754098361,17,0.2786885245901639,1,1.0
9250#0,08,9250,0,南浦岛（锦绣半岛）总站,10024393,地铁南浦站,10006463,0,0,31,20.56609677419355,2022-03-31,2.0,2022-03-31#08,7.0,1,137,0.8726114649681529,20,0.1273885350318471,1,1.0
3610#1,07,3610,1,南湖乐园站,10003646,同和站,10008912,0,0,7,12.26185714285714,2022-03-31,2.0,2022-03-31#07,3.0,17,64,0.8888888888888888,8,0.1111111111111111,1,0.28
716#1,07,716,1,南湖乐园站,10003646,同和站,10008912,0,0,6,12.75566666666667,2022-03-31,2.0,2022-03-31#07,3.0,4,64,0.8888888888888888,8,0.1111111111111111,2,0.24
292#1,07,292,1,南湖乐园站,10003646,同和站,10008912,0,0,6,15.56383333333333,2022-03-31,2.0,2022-03-31#07,3.0,22,64,0.8888888888888888,8,0.1111111111111111,3,0.24
710#0,07,710,0,南湖乐园站,10003646,同和站,10008912,0,0,4,15.921,2022-03-31,2.0,2022-03-31#07,3.0,6,64,0.8888888888888888,8,0.1111111111111111,4,0.16
9930#0,07,9930,0,南湖乐园站,10003646,同和站,11124,0,0,2,44.8085,2022-03-31,1.2,2022-03-31#07,11.0,4,64,0.8888888888888888,8,0.1111111111111111,5,0.08
227#0,08,227,0,卷烟一厂站,10005868,广州大桥北（五羊邨）站,10000546,0,0,23,24.77104347826087,2022-03-31,2.0,2022-03-31#08,5.0,8,29,0.90625,3,0.09375,1,1.0
5351#1,07,5351,1,同和榕树头站,10009138,同和站,11124,0,0,1,14.467,2022-03-31,1.2,2022-03-31#07,1.0,5,176,0.9777777777777776,4,0.02222222222222222,5,0.01538461538461539
716#1,07,716,1,同和榕树头站,10009138,同和站,10008912,0,0,8,5.36875,2022-03-31,2.0,2022-03-31#07,1.0,4,176,0.9777777777777776,4,0.02222222222222222,4,0.1230769230769231
710#0,07,710,0,同和榕树头站,10009138,同和站,10008912,0,0,9,7.549777777777779,2022-03-31,2.0,2022-03-31#07,1.0,6,176,0.9777777777777776,4,0.02222222222222222,3,0.1384615384615385
3610#1,07,3610,1,同和榕树头站,10009138,同和站,10008912,0,0,20,6.8242,2022-03-31,2.0,2022-03-31#07,1.0,20,176,0.9777777777777776,4,0.02222222222222222,2,0.3076923076923077
292#1,07,292,1,同和榕树头站,10009138,同和站,10008912,0,0,27,8.18762962962963,2022-03-31,2.0,2022-03-31#07,1.0,23,176,0.9777777777777776,4,0.02222222222222222,1,0.4153846153846154
5351#0,16,5351,0,同和站,289741,同和榕树头站,10009139,0,0,4,4.07525,2022-03-31,1.2,2022-03-31#16,1.0,5,35,0.7954545454545454,9,0.2045454545454546,4,0.1818181818181818
7410#0,16,7410,0,同和站,10000409,同和榕树头站,10009139,0,0,4,6.22075,2022-03-31,1.0,2022-03-31#16,1.0,8,35,0.7954545454545454,9,0.2045454545454546,3,0.1818181818181818
710#1,16,710,1,同和站,10000409,同和榕树头站,10009139,0,0,5,4.1634,2022-03-31,2.0,2022-03-31#16,1.0,5,35,0.7954545454545454,9,0.2045454545454546,2,0.2272727272727273
3610#0,16,3610,0,同和站,10000407,同和榕树头站,10009139,0,0,5,3.4768,2022-03-31,2.0,2022-03-31#16,1.0,15,35,0.7954545454545454,9,0.2045454545454546,1,0.2272727272727273
